    1/46656  [[0, 2, 6], [2, 4, 7], [3, 5, 8], [4, 5, 9], [0, 1, 5], [1, 3, 5]]
    1/46656  [[0, 3, 6], [2, 5, 7], [3, 5, 8], [4, 5, 9], [0, 1, 2], [1, 4, 5]]
    1/46656  [[0, 3, 6], [2, 5, 7], [4, 5, 8], [4, 5, 9], [0, 1, 2], [1, 3, 5]]
    1/46656  [[0, 3, 6], [2, 4, 7], [4, 5, 8], [4, 5, 9], [0, 1, 2], [1, 3, 5]]
    1/46656  [[0, 4, 6], [2, 5, 7], [3, 4, 8], [3, 5, 9], [0, 1, 4], [1, 2, 5]]
    1/46656  [[0, 5, 6], [2, 5, 7], [3, 4, 8], [3, 4, 9], [0, 1, 4], [1, 2, 5]]
    1/46656  [[0, 4, 6], [2, 5, 7], [3, 5, 8], [3, 5, 9], [0, 1, 4], [1, 2, 4]]
    2/46656  [[0, 2, 5], [1, 2, 6], [1, 4, 7], [3, 4, 8], [3, 4, 9], [0, 3, 4]]
    2/46656  [[0, 3, 5], [1, 3, 6], [1, 4, 7], [2, 4, 8], [2, 4, 9], [0, 3, 4]]
    2/46656  [[0, 2, 5], [1, 2, 6], [1, 4, 7], [3, 4, 8], [3, 4, 9], [0, 2, 3]]
    2/46656  [[0, 5, 6], [2, 4, 7], [3, 4, 8], [3, 5, 9], [0, 1, 4], [1, 2, 5]]
    2/46656  [[0, 5, 6], [2, 5, 7], [3, 4, 8], [3, 5, 9], [0, 1, 4], [1, 2, 4]]
    2/46656  [[0, 3, 6], [3, 5, 7], [4, 5, 8], [4, 5, 9], [0, 1, 2], [1, 2, 5]]
    2/46656  [[0, 5, 6], [3, 5, 7], [4, 5, 8], [4, 5, 9], [0, 1, 2], [1, 2, 3]]
    2/46656  [[2, 3, 6], [2, 4, 7], [3, 5, 8], [4, 5, 9], [0, 1, 5], [0, 1, 5]]
    2/46656  [[2, 4, 6], [2, 4, 7], [3, 5, 8], [3, 5, 9], [0, 1, 4], [0, 1, 5]]
    2/46656  [[2, 4, 6], [2, 5, 7], [3, 5, 8], [3, 5, 9], [0, 1, 4], [0, 1, 4]]
    3/46656  [[0, 1, 5], [0, 3, 6], [1, 4, 7], [2, 4, 8], [3, 4, 9], [2, 3, 4]]
    4/46656  [[2, 4, 6], [2, 5, 7], [3, 4, 8], [3, 5, 9], [0, 1, 4], [0, 1, 5]]
    5/46656  [[0, 2, 5], [1, 3, 6], [1, 3, 7], [2, 4, 8], [3, 4, 9], [0, 2, 4]]
    5/46656  [[0, 3, 5], [1, 2, 6], [1, 3, 7], [2, 4, 8], [3, 4, 9], [0, 2, 4]]
    8/46656  [[0, 1, 6], [3, 4, 7], [4, 5, 8], [4, 5, 9], [0, 1, 2], [2, 3, 5]]
   10/46656  [[0, 4, 5], [1, 3, 6], [1, 4, 7], [2, 3, 8], [2, 4, 9], [0, 3, 4]]
   12/46656  [[0, 2, 5], [1, 2, 6], [1, 2, 7], [3, 4, 8], [3, 4, 9], [0, 3, 4]]
   12/46656  [[0, 4, 5], [1, 2, 6], [1, 3, 7], [2, 4, 8], [3, 4, 9], [0, 2, 3]]
   17/46656  [[0, 1, 5], [0, 2, 6], [2, 4, 7], [3, 4, 8], [3, 4, 9], [1, 2, 3]]
   18/46656  [[0, 1, 5], [0, 4, 6], [2, 3, 7], [3, 4, 8], [3, 4, 9], [1, 2, 4]]
   20/46656  [[0, 2, 5], [1, 3, 6], [2, 4, 7], [3, 4, 8], [3, 4, 9], [0, 1, 2]]
   22/46656  [[0, 4, 5], [1, 2, 6], [1, 2, 7], [3, 4, 8], [3, 4, 9], [0, 2, 3]]
   25/46656  [[0, 1, 5], [0, 4, 6], [2, 4, 7], [3, 4, 8], [3, 4, 9], [1, 2, 3]]
   31/46656  [[0, 3, 5], [1, 4, 6], [2, 4, 7], [2, 4, 8], [3, 4, 9], [0, 1, 3]]
   32/46656  [[0, 1, 5], [2, 3, 6], [2, 4, 7], [3, 4, 8], [3, 4, 9], [0, 1, 4]]
   36/46656  [[0, 1, 6], [3, 5, 7], [4, 5, 8], [4, 5, 9], [0, 1, 2], [2, 3, 5]]
   36/46656  [[0, 3, 6], [1, 5, 7], [2, 3, 8], [4, 5, 9], [0, 1, 5], [2, 4, 5]]
   37/46656  [[0, 3, 6], [2, 3, 7], [4, 5, 8], [4, 5, 9], [0, 1, 5], [1, 2, 5]]
   41/46656  [[0, 1, 5], [0, 3, 6], [2, 4, 7], [2, 4, 8], [3, 4, 9], [1, 3, 4]]
   42/46656  [[0, 1, 5], [0, 3, 6], [2, 4, 7], [3, 4, 8], [3, 4, 9], [1, 2, 4]]
   42/46656  [[0, 4, 5], [1, 3, 6], [1, 3, 7], [2, 4, 8], [2, 4, 9], [0, 3, 4]]
   42/46656  [[0, 3, 5], [1, 4, 6], [2, 4, 7], [3, 4, 8], [3, 4, 9], [0, 1, 2]]
   45/46656  [[0, 1, 5], [0, 4, 6], [2, 4, 7], [3, 4, 8], [3, 4, 9], [1, 2, 4]]
   54/46656  [[0, 4, 5], [1, 4, 6], [2, 4, 7], [3, 4, 8], [3, 4, 9], [0, 1, 2]]
   64/46656  [[0, 1, 5], [2, 3, 6], [2, 4, 7], [3, 4, 8], [3, 4, 9], [0, 1, 2]]
   84/46656  [[0, 1, 5], [2, 4, 6], [2, 4, 7], [3, 4, 8], [3, 4, 9], [0, 1, 4]]
  132/46656  [[0, 1, 5], [2, 4, 6], [2, 4, 7], [3, 4, 8], [3, 4, 9], [0, 1, 3]]
  224/46656  [[0, 2, 5], [1, 4, 6], [3, 4, 7], [3, 4, 8], [3, 4, 9], [0, 1, 2]]
  308/46656  [[0, 1, 4], [0, 3, 5], [1, 3, 6], [2, 3, 7], [2, 3, 8], [2, 3, 9]]
  308/46656  [[0, 1, 4], [0, 2, 5], [1, 3, 6], [2, 3, 7], [2, 3, 8], [2, 3, 9]]
  414/46656  [[0, 2, 4], [0, 3, 5], [1, 2, 6], [1, 3, 7], [2, 3, 8], [2, 3, 9]]
  424/46656  [[0, 1, 4], [0, 2, 5], [1, 3, 6], [1, 3, 7], [2, 3, 8], [2, 3, 9]]
  425/46656  [[0, 1, 4], [0, 3, 5], [1, 2, 6], [1, 3, 7], [2, 3, 8], [2, 3, 9]]
  504/46656  [[0, 1, 4], [0, 2, 5], [0, 3, 6], [1, 2, 7], [1, 3, 8], [2, 3, 9]]
  514/46656  [[0, 2, 4], [0, 3, 5], [1, 3, 6], [1, 3, 7], [2, 3, 8], [2, 3, 9]]
  518/46656  [[0, 2, 4], [0, 2, 5], [0, 3, 6], [1, 2, 7], [1, 3, 8], [1, 3, 9]]
  568/46656  [[0, 3, 4], [0, 3, 5], [1, 2, 6], [1, 2, 7], [1, 3, 8], [2, 3, 9]]
  572/46656  [[0, 2, 4], [0, 2, 5], [1, 3, 6], [1, 3, 7], [2, 3, 8], [2, 3, 9]]
  645/46656  [[0, 1, 4], [0, 1, 5], [1, 3, 6], [2, 3, 7], [2, 3, 8], [2, 3, 9]]
  747/46656  [[0, 3, 4], [0, 3, 5], [1, 3, 6], [1, 3, 7], [2, 3, 8], [2, 3, 9]]
57 hypergraphs; failing profiles per hypergraph: min 1, median 22, max 747; hypergraphs with <= 36 failing profiles: 34
