# command: python3 c4min_hunt_run.py ../results/k4_certs_4_n4_3.json.gz --ckpt=../results/k4_c4min_hunt_n4_3.ckpt
# commit 759e80f, k4/c4min_hunt.c sha1 32b7ad4cec3d, started Fri Sep 25 20:47:52 UTC 2026
core 0 m 4 profiles 143327232 fails 0 solved 28870 secs 0.4
core 1 m 5 profiles 143327232 fails 0 solved 17255 secs 0.2
core 2 m 5 profiles 143327232 fails 0 solved 16825 secs 0.4
core 3 m 5 profiles 143327232 fails 0 solved 16444 secs 0.3
core 4 m 5 profiles 143327232 fails 0 solved 11847 secs 0.5
core 5 m 5 profiles 143327232 fails 0 solved 12341 secs 0.5
core 6 m 5 profiles 143327232 fails 0 solved 15338 secs 0.2
core 7 m 5 profiles 143327232 fails 0 solved 12822 secs 0.2
core 8 m 5 profiles 143327232 fails 0 solved 14845 secs 0.4
core 9 m 6 profiles 71663616 fails 0 solved 12643 secs 0.3
core 10 m 6 profiles 71663616 fails 0 solved 9711 secs 0.2
core 11 m 6 profiles 143327232 fails 0 solved 36554 secs 0.6
core 12 m 6 profiles 143327232 fails 0 solved 12663 secs 0.3
core 13 m 6 profiles 143327232 fails 0 solved 12987 secs 0.4
core 14 m 6 profiles 143327232 fails 0 solved 13146 secs 0.6
core 15 m 6 profiles 143327232 fails 0 solved 10379 secs 0.2
core 16 m 6 profiles 143327232 fails 0 solved 9214 secs 0.3
core 17 m 6 profiles 143327232 fails 0 solved 8337 secs 0.4
core 18 m 6 profiles 143327232 fails 0 solved 9031 secs 0.2
core 19 m 6 profiles 143327232 fails 0 solved 11757 secs 0.2
core 20 m 6 profiles 143327232 fails 0 solved 7467 secs 0.3
core 21 m 6 profiles 143327232 fails 0 solved 9149 secs 0.4
core 22 m 6 profiles 143327232 fails 0 solved 10721 secs 0.2
core 23 m 6 profiles 143327232 fails 0 solved 8186 secs 0.4
core 24 m 6 profiles 143327232 fails 0 solved 7776 secs 0.3
core 25 m 6 profiles 143327232 fails 0 solved 12030 secs 0.2
core 26 m 6 profiles 143327232 fails 0 solved 8471 secs 0.2
core 27 m 6 profiles 143327232 fails 0 solved 10885 secs 0.2
core 28 m 6 profiles 143327232 fails 0 solved 8314 secs 0.4
core 29 m 6 profiles 143327232 fails 0 solved 8745 secs 0.2
core 30 m 6 profiles 143327232 fails 0 solved 7898 secs 0.3
core 31 m 6 profiles 143327232 fails 0 solved 6512 secs 0.3
core 32 m 6 profiles 143327232 fails 0 solved 7882 secs 0.2
core 33 m 6 profiles 143327232 fails 0 solved 7405 secs 0.2
core 34 m 6 profiles 143327232 fails 0 solved 6933 secs 0.4
