# command: python3 c4min_hunt_run.py ../results/k4_certs_4_pure.json.gz --order=big --best=1 --ckpt=../results/k4_c4min_hunt_n4_pure.ckpt
# commit 759e80f, k4/c4min_hunt.c sha1 32b7ad4cec3d, started Fri Sep 25 20:48:31 UTC 2026
core 0 m 4 profiles 6879707136 fails 0 solved 2901792 secs 27.2
core 1 m 5 profiles 6879707136 fails 0 solved 1655126 secs 21.8
core 2 m 5 profiles 6879707136 fails 0 solved 1426916 secs 21.4
core 3 m 5 profiles 6879707136 fails 0 solved 1293876 secs 19.9
core 4 m 5 profiles 6879707136 fails 0 solved 1189392 secs 18.4
core 5 m 6 profiles 3439853568 fails 0 solved 782624 secs 12.6
core 6 m 6 profiles 6879707136 fails 0 solved 1520629 secs 25.8
core 7 m 6 profiles 6879707136 fails 0 solved 852500 secs 20.2
core 8 m 6 profiles 6879707136 fails 0 solved 1007547 secs 19.1
core 9 m 6 profiles 6879707136 fails 0 solved 965403 secs 18.3
core 10 m 6 profiles 6879707136 fails 0 solved 619209 secs 16.6
core 11 m 6 profiles 6879707136 fails 0 solved 731155 secs 15.8
core 12 m 6 profiles 6879707136 fails 0 solved 857709 secs 15.8
core 13 m 6 profiles 6879707136 fails 0 solved 732793 secs 15.8
core 14 m 6 profiles 6879707136 fails 0 solved 701581 secs 16.3
core 15 m 6 profiles 6879707136 fails 0 solved 629425 secs 14.6
core 16 m 6 profiles 6879707136 fails 0 solved 829708 secs 16.3
core 17 m 6 profiles 6879707136 fails 0 solved 700881 secs 15.6
core 18 m 6 profiles 6879707136 fails 0 solved 646304 secs 18.2
core 19 m 6 profiles 6879707136 fails 0 solved 642453 secs 20.9
core 20 m 6 profiles 6879707136 fails 0 solved 621768 secs 20.5
core 21 m 7 profiles 3439853568 fails 0 solved 505115 secs 17.1
core 22 m 7 profiles 3439853568 fails 0 solved 455417 secs 15.8
core 23 m 7 profiles 3439853568 fails 0 solved 620392 secs 15.7
core 24 m 7 profiles 3439853568 fails 0 solved 531919 secs 15.5
core 25 m 7 profiles 3439853568 fails 0 solved 454484 secs 13.2
core 26 m 7 profiles 3439853568 fails 0 solved 673719 secs 20.4
core 27 m 7 profiles 3439853568 fails 0 solved 584249 secs 21.7
core 28 m 7 profiles 6879707136 fails 0 solved 2139602 secs 50.1
core 29 m 7 profiles 6879707136 fails 0 solved 902264 secs 28.8
core 30 m 7 profiles 6879707136 fails 0 solved 694613 secs 24.6
core 31 m 7 profiles 6879707136 fails 0 solved 650434 secs 25.0
core 32 m 7 profiles 6879707136 fails 0 solved 695853 secs 25.6
core 33 m 7 profiles 6879707136 fails 0 solved 579041 secs 23.1
core 34 m 7 profiles 6879707136 fails 0 solved 601107 secs 21.7
core 35 m 7 profiles 6879707136 fails 0 solved 652158 secs 21.5
core 36 m 7 profiles 6879707136 fails 0 solved 613082 secs 20.9
core 37 m 7 profiles 6879707136 fails 0 solved 655855 secs 23.9
core 38 m 7 profiles 6879707136 fails 0 solved 732058 secs 25.8
core 39 m 7 profiles 6879707136 fails 0 solved 602526 secs 22.4
core 40 m 7 profiles 6879707136 fails 0 solved 528462 secs 19.1
core 41 m 7 profiles 6879707136 fails 0 solved 714555 secs 22.5
core 42 m 7 profiles 6879707136 fails 0 solved 670483 secs 21.2
core 43 m 7 profiles 6879707136 fails 0 solved 747445 secs 27.2
core 44 m 7 profiles 6879707136 fails 0 solved 463260 secs 16.9
core 45 m 7 profiles 6879707136 fails 0 solved 537553 secs 16.4
core 46 m 7 profiles 6879707136 fails 0 solved 579283 secs 20.7
core 47 m 7 profiles 6879707136 fails 0 solved 559178 secs 21.4
core 48 m 7 profiles 6879707136 fails 0 solved 480634 secs 19.7
core 49 m 7 profiles 6879707136 fails 0 solved 435408 secs 20.6
core 50 m 7 profiles 6879707136 fails 0 solved 335496 secs 17.7
core 51 m 7 profiles 6879707136 fails 0 solved 269180 secs 17.7
core 52 m 7 profiles 6879707136 fails 0 solved 334510 secs 16.2
core 53 m 7 profiles 6879707136 fails 0 solved 521192 secs 17.9
core 54 m 7 profiles 6879707136 fails 0 solved 500082 secs 18.3
core 55 m 7 profiles 6879707136 fails 0 solved 404983 secs 16.4
core 56 m 7 profiles 6879707136 fails 0 solved 444448 secs 15.4
core 57 m 7 profiles 6879707136 fails 0 solved 442309 secs 14.7
core 58 m 7 profiles 6879707136 fails 0 solved 341941 secs 15.3
core 59 m 7 profiles 6879707136 fails 0 solved 342257 secs 14.5
core 60 m 7 profiles 6879707136 fails 0 solved 259823 secs 14.2
core 61 m 8 profiles 3439853568 fails 0 solved 410549 secs 28.2
core 62 m 8 profiles 3439853568 fails 0 solved 357996 secs 31.9
core 63 m 8 profiles 3439853568 fails 0 solved 422826 secs 30.5
core 64 m 8 profiles 3439853568 fails 0 solved 404998 secs 28.6
core 65 m 8 profiles 3439853568 fails 0 solved 349717 secs 30.9
core 66 m 8 profiles 3439853568 fails 0 solved 504477 secs 30.6
core 67 m 8 profiles 3439853568 fails 0 solved 390827 secs 23.9
core 68 m 8 profiles 1719926784 fails 0 solved 611215 secs 15.9
core 69 m 8 profiles 1719926784 fails 0 solved 474805 secs 16.1
core 70 m 8 profiles 1719926784 fails 0 solved 334591 secs 17.4
core 71 m 8 profiles 3439853568 fails 0 solved 965622 secs 31.2
core 72 m 8 profiles 3439853568 fails 0 solved 445009 secs 29.0
core 73 m 8 profiles 3439853568 fails 0 solved 623980 secs 24.0
core 74 m 8 profiles 3439853568 fails 0 solved 626651 secs 25.6
core 75 m 8 profiles 3439853568 fails 0 solved 470994 secs 19.9
core 76 m 8 profiles 3439853568 fails 0 solved 485770 secs 21.7
core 77 m 8 profiles 3439853568 fails 0 solved 435509 secs 24.8
core 78 m 8 profiles 3439853568 fails 0 solved 270556 secs 31.3
core 79 m 8 profiles 3439853568 fails 0 solved 314382 secs 26.4
core 80 m 8 profiles 3439853568 fails 0 solved 434988 secs 29.8
core 81 m 8 profiles 3439853568 fails 0 solved 429604 secs 35.8
core 82 m 8 profiles 3439853568 fails 0 solved 506342 secs 29.8
core 83 m 8 profiles 3439853568 fails 0 solved 510009 secs 36.6
core 84 m 8 profiles 3439853568 fails 0 solved 485449 secs 28.3
core 85 m 8 profiles 3439853568 fails 0 solved 407215 secs 29.7
core 86 m 8 profiles 3439853568 fails 0 solved 431903 secs 27.6
core 87 m 8 profiles 6879707136 fails 0 solved 677425 secs 48.0
core 88 m 8 profiles 6879707136 fails 0 solved 687141 secs 50.0
core 89 m 8 profiles 6879707136 fails 0 solved 643612 secs 42.8
core 90 m 8 profiles 6879707136 fails 0 solved 551420 secs 50.5
core 91 m 8 profiles 6879707136 fails 0 solved 561772 secs 56.5
core 92 m 8 profiles 6879707136 fails 0 solved 459693 secs 56.9
core 93 m 8 profiles 6879707136 fails 0 solved 641683 secs 51.9
core 94 m 8 profiles 6879707136 fails 0 solved 626179 secs 38.3
core 95 m 8 profiles 6879707136 fails 0 solved 490435 secs 32.0
core 96 m 8 profiles 6879707136 fails 0 solved 475622 secs 34.1
core 97 m 8 profiles 6879707136 fails 0 solved 504122 secs 41.6
core 98 m 8 profiles 6879707136 fails 0 solved 577859 secs 36.9
core 99 m 8 profiles 6879707136 fails 0 solved 404151 secs 36.8
core 100 m 8 profiles 6879707136 fails 0 solved 417168 secs 32.9
core 101 m 8 profiles 6879707136 fails 0 solved 447953 secs 32.4
core 102 m 8 profiles 6879707136 fails 0 solved 403218 secs 39.5
core 103 m 8 profiles 6879707136 fails 0 solved 374959 secs 35.9
core 104 m 8 profiles 6879707136 fails 0 solved 416414 secs 36.6
core 105 m 8 profiles 6879707136 fails 0 solved 415683 secs 38.7
core 106 m 8 profiles 6879707136 fails 0 solved 451889 secs 37.9
core 107 m 8 profiles 6879707136 fails 0 solved 414588 secs 35.1
core 108 m 8 profiles 6879707136 fails 0 solved 430563 secs 36.2
core 109 m 8 profiles 6879707136 fails 0 solved 383181 secs 33.3
core 110 m 8 profiles 6879707136 fails 0 solved 471481 secs 40.1
core 111 m 8 profiles 6879707136 fails 0 solved 541721 secs 38.4
core 112 m 8 profiles 6879707136 fails 0 solved 425319 secs 37.1
core 113 m 8 profiles 6879707136 fails 0 solved 489148 secs 37.7
core 114 m 8 profiles 6879707136 fails 0 solved 345752 secs 35.9
core 115 m 8 profiles 6879707136 fails 0 solved 383198 secs 35.7
core 116 m 8 profiles 6879707136 fails 0 solved 343383 secs 36.3
core 117 m 8 profiles 6879707136 fails 0 solved 251184 secs 33.9
core 118 m 8 profiles 6879707136 fails 0 solved 185308 secs 29.7
core 119 m 8 profiles 6879707136 fails 0 solved 218092 secs 33.2
core 120 m 8 profiles 6879707136 fails 0 solved 375088 secs 34.7
core 121 m 8 profiles 6879707136 fails 0 solved 289791 secs 32.8
core 122 m 8 profiles 6879707136 fails 0 solved 336232 secs 34.5
core 123 m 9 profiles 3439853568 fails 0 solved 292144 secs 23.9
core 124 m 9 profiles 3439853568 fails 0 solved 352843 secs 23.9
core 125 m 9 profiles 1719926784 fails 0 solved 173967 secs 13.4
core 126 m 9 profiles 1719926784 fails 0 solved 157898 secs 12.6
core 127 m 9 profiles 1719926784 fails 0 solved 310715 secs 12.6
core 128 m 9 profiles 1719926784 fails 0 solved 304444 secs 12.8
core 129 m 9 profiles 1719926784 fails 0 solved 209293 secs 11.6
core 130 m 9 profiles 1719926784 fails 0 solved 306013 secs 11.7
core 131 m 9 profiles 1719926784 fails 0 solved 320662 secs 12.3
core 132 m 9 profiles 1719926784 fails 0 solved 176093 secs 13.0
core 133 m 9 profiles 1719926784 fails 0 solved 275484 secs 13.3
core 134 m 9 profiles 1719926784 fails 0 solved 504543 secs 13.9
core 135 m 9 profiles 1719926784 fails 0 solved 272390 secs 12.6
core 136 m 9 profiles 1719926784 fails 0 solved 501834 secs 12.1
core 137 m 9 profiles 1719926784 fails 0 solved 460595 secs 12.6
core 138 m 9 profiles 3439853568 fails 0 solved 389920 secs 20.6
core 139 m 9 profiles 3439853568 fails 0 solved 388414 secs 21.7
core 140 m 9 profiles 3439853568 fails 0 solved 445189 secs 20.7
core 141 m 9 profiles 3439853568 fails 0 solved 359997 secs 20.3
core 142 m 9 profiles 3439853568 fails 0 solved 241544 secs 24.4
core 143 m 9 profiles 3439853568 fails 0 solved 266396 secs 21.7
core 144 m 9 profiles 3439853568 fails 0 solved 295720 secs 21.0
core 145 m 9 profiles 3439853568 fails 0 solved 217507 secs 22.4
core 146 m 9 profiles 3439853568 fails 0 solved 273330 secs 22.6
core 147 m 9 profiles 3439853568 fails 0 solved 435130 secs 24.6
core 148 m 9 profiles 3439853568 fails 0 solved 179668 secs 24.7
core 149 m 9 profiles 3439853568 fails 0 solved 279987 secs 21.2
core 150 m 9 profiles 3439853568 fails 0 solved 261024 secs 21.7
core 151 m 9 profiles 3439853568 fails 0 solved 281715 secs 21.2
core 152 m 9 profiles 3439853568 fails 0 solved 330497 secs 22.1
core 153 m 9 profiles 3439853568 fails 0 solved 403032 secs 25.3
core 154 m 9 profiles 3439853568 fails 0 solved 308401 secs 26.3
core 155 m 9 profiles 3439853568 fails 0 solved 326410 secs 24.1
core 156 m 9 profiles 3439853568 fails 0 solved 238694 secs 25.8
core 157 m 9 profiles 3439853568 fails 0 solved 232713 secs 23.2
core 158 m 9 profiles 3439853568 fails 0 solved 240820 secs 26.1
core 159 m 9 profiles 3439853568 fails 0 solved 327862 secs 24.8
core 160 m 9 profiles 3439853568 fails 0 solved 265992 secs 22.8
core 161 m 9 profiles 3439853568 fails 0 solved 280139 secs 25.0
core 162 m 9 profiles 6879707136 fails 0 solved 395290 secs 37.4
core 163 m 9 profiles 6879707136 fails 0 solved 327028 secs 37.0
core 164 m 9 profiles 6879707136 fails 0 solved 300320 secs 37.2
core 165 m 9 profiles 6879707136 fails 0 solved 315084 secs 35.2
core 166 m 9 profiles 6879707136 fails 0 solved 313712 secs 36.6
core 167 m 9 profiles 6879707136 fails 0 solved 270982 secs 42.5
core 168 m 9 profiles 6879707136 fails 0 solved 241507 secs 40.1
core 169 m 9 profiles 6879707136 fails 0 solved 223428 secs 34.9
core 170 m 9 profiles 6879707136 fails 0 solved 258022 secs 35.9
core 171 m 9 profiles 6879707136 fails 0 solved 296305 secs 37.1
core 172 m 9 profiles 6879707136 fails 0 solved 232340 secs 33.4
core 173 m 9 profiles 6879707136 fails 0 solved 361188 secs 41.6
core 174 m 9 profiles 6879707136 fails 0 solved 291005 secs 38.7
core 175 m 9 profiles 6879707136 fails 0 solved 353511 secs 45.2
core 176 m 9 profiles 6879707136 fails 0 solved 420431 secs 48.6
core 177 m 10 profiles 1719926784 fails 0 solved 73729 secs 14.0
core 178 m 10 profiles 1719926784 fails 0 solved 65539 secs 13.5
core 179 m 10 profiles 1719926784 fails 0 solved 113193 secs 12.6
core 180 m 10 profiles 859963392 fails 0 solved 214792 secs 9.7
core 181 m 10 profiles 859963392 fails 0 solved 110840 secs 7.4
core 182 m 10 profiles 859963392 fails 0 solved 104946 secs 7.7
core 183 m 10 profiles 1719926784 fails 0 solved 109767 secs 15.5
core 184 m 10 profiles 1719926784 fails 0 solved 76276 secs 14.9
core 185 m 10 profiles 1719926784 fails 0 solved 193723 secs 14.6
core 186 m 10 profiles 1719926784 fails 0 solved 109910 secs 13.4
core 187 m 10 profiles 1719926784 fails 0 solved 156927 secs 13.6
