# command: python3 c4min_hunt_run.py ../results/k4_certs_5_n4_1.json.gz ../results/k4_certs_5_n4_2.json.gz --ckpt=../results/k4_c4min_hunt_n5_12.ckpt
# commit 4eb9656, k4/c4min_hunt.c sha1 9c7ca0ffe25b, started Fri Sep 25 21:11:03 UTC 2026
core 0 m 4 profiles 373248 fails 0 solved 2210 secs 0.0
core 1 m 4 profiles 373248 fails 0 solved 2196 secs 0.0
core 2 m 4 profiles 373248 fails 0 solved 1953 secs 0.0
core 3 m 4 profiles 373248 fails 0 solved 1411 secs 0.0
core 4 m 4 profiles 373248 fails 0 solved 1036 secs 0.0
core 5 m 5 profiles 186624 fails 0 solved 784 secs 0.0
core 6 m 5 profiles 373248 fails 0 solved 2220 secs 0.0
core 7 m 5 profiles 373248 fails 0 solved 1655 secs 0.0
core 8 m 5 profiles 373248 fails 0 solved 1202 secs 0.0
core 9 m 5 profiles 373248 fails 0 solved 2193 secs 0.0
core 10 m 5 profiles 373248 fails 0 solved 1694 secs 0.0
core 11 m 5 profiles 373248 fails 0 solved 2612 secs 0.0
core 12 m 5 profiles 373248 fails 0 solved 1267 secs 0.0
core 13 m 5 profiles 373248 fails 0 solved 2585 secs 0.0
core 14 m 5 profiles 373248 fails 0 solved 1644 secs 0.0
core 15 m 5 profiles 373248 fails 0 solved 1472 secs 0.0
core 16 m 5 profiles 373248 fails 0 solved 2360 secs 0.0
core 17 m 5 profiles 373248 fails 0 solved 1287 secs 0.0
core 18 m 5 profiles 373248 fails 0 solved 2207 secs 0.0
core 19 m 5 profiles 373248 fails 0 solved 2713 secs 0.0
core 20 m 5 profiles 373248 fails 0 solved 1067 secs 0.0
core 21 m 5 profiles 373248 fails 0 solved 2409 secs 0.0
core 22 m 5 profiles 373248 fails 0 solved 2877 secs 0.0
core 23 m 5 profiles 373248 fails 0 solved 2791 secs 0.0
core 24 m 5 profiles 373248 fails 0 solved 2662 secs 0.0
core 25 m 5 profiles 373248 fails 0 solved 2735 secs 0.0
core 26 m 5 profiles 373248 fails 0 solved 2439 secs 0.0
core 27 m 5 profiles 373248 fails 0 solved 2292 secs 0.0
core 28 m 5 profiles 373248 fails 0 solved 2373 secs 0.0
core 29 m 5 profiles 373248 fails 0 solved 2101 secs 0.0
core 30 m 5 profiles 373248 fails 0 solved 2659 secs 0.0
core 31 m 5 profiles 373248 fails 0 solved 2437 secs 0.0
core 32 m 5 profiles 373248 fails 0 solved 2323 secs 0.0
core 33 m 5 profiles 373248 fails 0 solved 2445 secs 0.0
core 34 m 5 profiles 373248 fails 0 solved 2249 secs 0.0
core 35 m 5 profiles 373248 fails 0 solved 2245 secs 0.0
core 36 m 5 profiles 373248 fails 0 solved 2712 secs 0.0
core 37 m 5 profiles 373248 fails 0 solved 2483 secs 0.0
core 38 m 5 profiles 373248 fails 0 solved 2599 secs 0.0
core 39 m 5 profiles 373248 fails 0 solved 2423 secs 0.0
core 40 m 5 profiles 373248 fails 0 solved 2497 secs 0.0
core 41 m 5 profiles 373248 fails 0 solved 2652 secs 0.0
core 42 m 5 profiles 373248 fails 0 solved 2747 secs 0.0
core 43 m 5 profiles 373248 fails 0 solved 2274 secs 0.0
core 44 m 5 profiles 373248 fails 0 solved 2734 secs 0.0
core 45 m 5 profiles 373248 fails 0 solved 2637 secs 0.0
core 46 m 5 profiles 373248 fails 0 solved 2740 secs 0.0
core 47 m 5 profiles 373248 fails 0 solved 3024 secs 0.0
core 48 m 5 profiles 373248 fails 0 solved 2943 secs 0.0
core 49 m 5 profiles 373248 fails 0 solved 2682 secs 0.0
core 50 m 5 profiles 373248 fails 0 solved 2669 secs 0.0
core 51 m 5 profiles 373248 fails 0 solved 2756 secs 0.0
core 52 m 5 profiles 373248 fails 0 solved 2557 secs 0.0
core 53 m 6 profiles 186624 fails 0 solved 1862 secs 0.0
core 54 m 6 profiles 186624 fails 0 solved 1611 secs 0.0
core 55 m 6 profiles 186624 fails 0 solved 2630 secs 0.0
core 56 m 6 profiles 186624 fails 0 solved 2023 secs 0.0
core 57 m 6 profiles 186624 fails 0 solved 2219 secs 0.0
core 58 m 6 profiles 186624 fails 0 solved 1680 secs 0.0
core 59 m 6 profiles 186624 fails 0 solved 1337 secs 0.0
core 60 m 6 profiles 186624 fails 0 solved 1679 secs 0.0
core 61 m 6 profiles 186624 fails 0 solved 1525 secs 0.0
