# command: python3 c4min_hunt_run.py ../results/k4_certs_5_n4_3.json.gz --jobs=3 --ckpt=../results/k4_c4min_hunt_n5_3.ckpt
# commit 4127f70, k4/c4min_hunt.c sha1 9c7ca0ffe25b, started Fri Sep 25 21:19:13 UTC 2026
core 0 m 4 profiles 859963392 fails 0 solved 192420 secs 3.0
core 1 m 4 profiles 859963392 fails 0 solved 204125 secs 3.5
core 2 m 5 profiles 859963392 fails 0 solved 166212 secs 2.6
core 3 m 5 profiles 859963392 fails 0 solved 147131 secs 2.6
core 4 m 5 profiles 859963392 fails 0 solved 164418 secs 2.7
core 5 m 5 profiles 859963392 fails 0 solved 181951 secs 2.9
core 6 m 5 profiles 859963392 fails 0 solved 144279 secs 2.4
core 7 m 5 profiles 859963392 fails 0 solved 223469 secs 3.5
core 8 m 5 profiles 859963392 fails 0 solved 125493 secs 2.0
core 9 m 5 profiles 859963392 fails 0 solved 135200 secs 2.4
core 10 m 5 profiles 859963392 fails 0 solved 124755 secs 2.1
core 11 m 5 profiles 859963392 fails 0 solved 105173 secs 2.8
core 12 m 5 profiles 859963392 fails 0 solved 124861 secs 3.0
core 13 m 5 profiles 859963392 fails 0 solved 158045 secs 2.7
core 14 m 5 profiles 859963392 fails 0 solved 129030 secs 2.7
core 15 m 5 profiles 859963392 fails 0 solved 154370 secs 3.6
core 16 m 5 profiles 859963392 fails 0 solved 163448 secs 2.8
core 17 m 5 profiles 859963392 fails 0 solved 177081 secs 3.4
core 18 m 5 profiles 859963392 fails 0 solved 145872 secs 3.2
core 19 m 5 profiles 859963392 fails 0 solved 192241 secs 3.1
core 20 m 5 profiles 859963392 fails 0 solved 172625 secs 2.9
core 21 m 5 profiles 859963392 fails 0 solved 121658 secs 2.2
core 22 m 5 profiles 859963392 fails 0 solved 193645 secs 3.6
core 23 m 5 profiles 859963392 fails 0 solved 189988 secs 3.7
core 24 m 5 profiles 859963392 fails 0 solved 127201 secs 2.5
core 25 m 5 profiles 859963392 fails 0 solved 135664 secs 2.2
core 26 m 5 profiles 859963392 fails 0 solved 140865 secs 3.1
core 27 m 5 profiles 859963392 fails 0 solved 164894 secs 3.3
core 28 m 5 profiles 859963392 fails 0 solved 173900 secs 3.5
core 29 m 5 profiles 859963392 fails 0 solved 168755 secs 3.2
core 30 m 5 profiles 859963392 fails 0 solved 178769 secs 3.7
core 31 m 5 profiles 859963392 fails 0 solved 158787 secs 3.2
core 32 m 5 profiles 859963392 fails 0 solved 171434 secs 3.3
core 33 m 5 profiles 859963392 fails 0 solved 167435 secs 3.0
core 34 m 6 profiles 429981696 fails 0 solved 91151 secs 1.6
core 35 m 6 profiles 429981696 fails 0 solved 91127 secs 1.4
core 36 m 6 profiles 429981696 fails 0 solved 91205 secs 1.6
core 37 m 6 profiles 429981696 fails 0 solved 89191 secs 1.6
core 38 m 6 profiles 429981696 fails 0 solved 81823 secs 1.5
core 39 m 6 profiles 859963392 fails 0 solved 131295 secs 1.7
core 40 m 6 profiles 859963392 fails 0 solved 107059 secs 2.2
core 41 m 6 profiles 859963392 fails 0 solved 111371 secs 2.4
core 42 m 6 profiles 859963392 fails 0 solved 123974 secs 2.2
core 43 m 6 profiles 859963392 fails 0 solved 85132 secs 2.4
core 44 m 6 profiles 859963392 fails 0 solved 100199 secs 2.0
core 45 m 6 profiles 859963392 fails 0 solved 116242 secs 2.2
core 46 m 6 profiles 859963392 fails 0 solved 100755 secs 2.5
core 47 m 6 profiles 859963392 fails 0 solved 100577 secs 3.0
core 48 m 6 profiles 859963392 fails 0 solved 119502 secs 2.6
core 49 m 6 profiles 859963392 fails 0 solved 105673 secs 2.8
core 50 m 6 profiles 859963392 fails 0 solved 119460 secs 2.8
core 51 m 6 profiles 859963392 fails 0 solved 111099 secs 2.5
core 52 m 6 profiles 859963392 fails 0 solved 123762 secs 2.9
core 53 m 6 profiles 859963392 fails 0 solved 126433 secs 3.1
core 54 m 6 profiles 859963392 fails 0 solved 98163 secs 2.3
core 55 m 6 profiles 859963392 fails 0 solved 103019 secs 3.0
core 56 m 6 profiles 859963392 fails 0 solved 133889 secs 2.9
core 57 m 6 profiles 859963392 fails 0 solved 87869 secs 3.1
core 58 m 6 profiles 859963392 fails 0 solved 84797 secs 2.5
core 59 m 6 profiles 859963392 fails 0 solved 99841 secs 2.3
core 60 m 6 profiles 859963392 fails 0 solved 79952 secs 1.9
core 61 m 6 profiles 859963392 fails 0 solved 104110 secs 2.3
core 62 m 6 profiles 859963392 fails 0 solved 119269 secs 2.6
core 63 m 6 profiles 859963392 fails 0 solved 82704 secs 2.8
core 64 m 6 profiles 859963392 fails 0 solved 72013 secs 2.2
core 65 m 6 profiles 859963392 fails 0 solved 71590 secs 2.3
core 66 m 6 profiles 859963392 fails 0 solved 91890 secs 2.2
core 67 m 6 profiles 859963392 fails 0 solved 126810 secs 3.0
core 68 m 6 profiles 859963392 fails 0 solved 74622 secs 2.1
core 69 m 6 profiles 859963392 fails 0 solved 79006 secs 2.2
core 70 m 6 profiles 859963392 fails 0 solved 84838 secs 2.1
core 71 m 6 profiles 859963392 fails 0 solved 101647 secs 2.1
core 72 m 6 profiles 859963392 fails 0 solved 119626 secs 2.8
core 73 m 6 profiles 859963392 fails 0 solved 99795 secs 2.3
core 74 m 6 profiles 859963392 fails 0 solved 77172 secs 2.0
core 75 m 6 profiles 859963392 fails 0 solved 125142 secs 2.6
core 76 m 6 profiles 859963392 fails 0 solved 119991 secs 3.0
core 77 m 6 profiles 859963392 fails 0 solved 109677 secs 2.2
core 78 m 6 profiles 859963392 fails 0 solved 121231 secs 2.4
core 79 m 6 profiles 859963392 fails 0 solved 80150 secs 2.2
core 80 m 6 profiles 859963392 fails 0 solved 104329 secs 2.9
core 81 m 6 profiles 859963392 fails 0 solved 144049 secs 2.9
core 82 m 6 profiles 859963392 fails 0 solved 138565 secs 2.9
core 83 m 6 profiles 859963392 fails 0 solved 87465 secs 2.2
core 84 m 6 profiles 859963392 fails 0 solved 83354 secs 2.0
core 85 m 6 profiles 859963392 fails 0 solved 113737 secs 1.9
core 86 m 6 profiles 859963392 fails 0 solved 108249 secs 1.9
core 87 m 6 profiles 859963392 fails 0 solved 99776 secs 1.5
core 88 m 6 profiles 859963392 fails 0 solved 86735 secs 1.6
core 89 m 6 profiles 859963392 fails 0 solved 96688 secs 1.6
core 90 m 6 profiles 859963392 fails 0 solved 100118 secs 1.8
core 91 m 6 profiles 859963392 fails 0 solved 80063 secs 1.7
core 92 m 6 profiles 859963392 fails 0 solved 104146 secs 1.5
core 93 m 6 profiles 859963392 fails 0 solved 95794 secs 1.8
core 94 m 6 profiles 859963392 fails 0 solved 89306 secs 1.6
