# command: python3 c4min_hunt_run.py ../results/k4_certs_6_n4_1.json.gz --jobs=3 --ckpt=../results/k4_c4min_hunt_n6_1.ckpt
# commit bf2f6af, k4/c4min_hunt.c sha1 60fbc9be5f85, started Fri Sep 25 23:37:09 UTC 2026
core 0 m 4 profiles 2239488 fails 0 solved 13250 secs 0.1
core 1 m 4 profiles 2239488 fails 0 solved 12788 secs 0.1
core 2 m 4 profiles 2239488 fails 0 solved 6790 secs 0.1
core 3 m 4 profiles 2239488 fails 0 solved 4865 secs 0.1
core 4 m 4 profiles 2239488 fails 0 solved 11500 secs 0.3
core 5 m 4 profiles 2239488 fails 0 solved 8380 secs 0.4
core 6 m 5 profiles 1119744 fails 0 solved 4624 secs 0.3
core 7 m 5 profiles 2239488 fails 0 solved 13256 secs 0.1
core 8 m 5 profiles 2239488 fails 0 solved 4672 secs 0.1
core 9 m 5 profiles 2239488 fails 0 solved 4688 secs 0.1
core 10 m 5 profiles 2239488 fails 0 solved 13142 secs 0.1
core 11 m 5 profiles 2239488 fails 0 solved 6980 secs 0.1
core 12 m 5 profiles 2239488 fails 0 solved 13176 secs 0.0
core 13 m 5 profiles 2239488 fails 0 solved 5678 secs 0.0
core 14 m 5 profiles 2239488 fails 0 solved 13011 secs 0.0
core 15 m 5 profiles 2239488 fails 0 solved 11372 secs 0.0
core 16 m 5 profiles 2239488 fails 0 solved 6223 secs 0.0
core 17 m 5 profiles 2239488 fails 0 solved 10792 secs 0.0
core 18 m 5 profiles 2239488 fails 0 solved 11779 secs 0.0
core 19 m 5 profiles 2239488 fails 0 solved 4460 secs 0.0
core 20 m 5 profiles 2239488 fails 0 solved 10489 secs 0.0
core 21 m 5 profiles 2239488 fails 0 solved 11718 secs 0.0
core 22 m 5 profiles 2239488 fails 0 solved 8704 secs 0.0
core 23 m 5 profiles 2239488 fails 0 solved 9354 secs 0.0
core 24 m 5 profiles 2239488 fails 0 solved 8856 secs 0.0
core 25 m 5 profiles 2239488 fails 0 solved 7735 secs 0.0
core 26 m 5 profiles 2239488 fails 0 solved 8042 secs 0.0
core 27 m 5 profiles 2239488 fails 0 solved 12480 secs 0.1
core 28 m 5 profiles 2239488 fails 0 solved 8297 secs 0.0
core 29 m 5 profiles 2239488 fails 0 solved 12171 secs 0.1
core 30 m 5 profiles 2239488 fails 0 solved 10403 secs 0.3
core 31 m 5 profiles 2239488 fails 0 solved 15326 secs 0.3
core 32 m 5 profiles 2239488 fails 0 solved 10357 secs 0.3
core 33 m 5 profiles 2239488 fails 0 solved 7772 secs 0.0
core 34 m 5 profiles 2239488 fails 0 solved 13848 secs 0.1
core 35 m 5 profiles 2239488 fails 0 solved 13922 secs 0.1
core 36 m 5 profiles 2239488 fails 0 solved 13168 secs 0.1
core 37 m 5 profiles 2239488 fails 0 solved 13120 secs 0.1
core 38 m 5 profiles 2239488 fails 0 solved 11257 secs 0.1
core 39 m 5 profiles 2239488 fails 0 solved 11174 secs 0.1
core 40 m 5 profiles 2239488 fails 0 solved 11414 secs 0.1
core 41 m 5 profiles 2239488 fails 0 solved 10507 secs 0.0
core 42 m 5 profiles 2239488 fails 0 solved 11579 secs 0.1
core 43 m 5 profiles 2239488 fails 0 solved 8866 secs 0.0
core 44 m 5 profiles 2239488 fails 0 solved 8392 secs 0.0
core 45 m 5 profiles 2239488 fails 0 solved 7051 secs 0.0
core 46 m 5 profiles 2239488 fails 0 solved 15321 secs 0.1
core 47 m 5 profiles 2239488 fails 0 solved 12636 secs 0.1
core 48 m 5 profiles 2239488 fails 0 solved 11000 secs 0.1
core 49 m 5 profiles 2239488 fails 0 solved 14585 secs 0.1
core 50 m 5 profiles 2239488 fails 0 solved 11552 secs 0.1
core 51 m 5 profiles 2239488 fails 0 solved 11378 secs 0.1
core 52 m 5 profiles 2239488 fails 0 solved 11295 secs 0.1
core 53 m 5 profiles 2239488 fails 0 solved 10894 secs 0.1
core 54 m 5 profiles 2239488 fails 0 solved 11113 secs 0.1
core 55 m 5 profiles 2239488 fails 0 solved 9873 secs 0.1
core 56 m 5 profiles 2239488 fails 0 solved 11058 secs 0.1
core 57 m 5 profiles 2239488 fails 0 solved 9193 secs 0.1
core 58 m 5 profiles 2239488 fails 0 solved 8247 secs 0.1
core 59 m 5 profiles 2239488 fails 0 solved 10652 secs 0.1
core 60 m 5 profiles 2239488 fails 0 solved 8256 secs 0.1
core 61 m 5 profiles 2239488 fails 0 solved 10024 secs 0.0
core 62 m 5 profiles 2239488 fails 0 solved 9030 secs 0.1
core 63 m 5 profiles 2239488 fails 0 solved 9600 secs 0.1
core 64 m 5 profiles 2239488 fails 0 solved 9133 secs 0.0
core 65 m 5 profiles 2239488 fails 0 solved 9205 secs 0.1
core 66 m 5 profiles 2239488 fails 0 solved 8675 secs 0.0
core 67 m 5 profiles 2239488 fails 0 solved 8437 secs 0.0
core 68 m 5 profiles 2239488 fails 0 solved 7865 secs 0.0
core 69 m 5 profiles 2239488 fails 0 solved 9216 secs 0.0
core 70 m 5 profiles 2239488 fails 0 solved 11465 secs 0.1
core 71 m 5 profiles 2239488 fails 0 solved 8587 secs 0.1
core 72 m 5 profiles 2239488 fails 0 solved 10995 secs 0.1
core 73 m 5 profiles 2239488 fails 0 solved 8599 secs 0.1
core 74 m 5 profiles 2239488 fails 0 solved 9985 secs 0.1
core 75 m 5 profiles 2239488 fails 0 solved 8939 secs 0.0
core 76 m 5 profiles 2239488 fails 0 solved 8088 secs 0.1
core 77 m 5 profiles 2239488 fails 0 solved 9471 secs 0.0
core 78 m 5 profiles 2239488 fails 0 solved 10273 secs 0.1
core 79 m 5 profiles 2239488 fails 0 solved 11328 secs 0.1
core 80 m 5 profiles 2239488 fails 0 solved 9061 secs 0.1
core 81 m 5 profiles 2239488 fails 0 solved 11470 secs 0.1
core 82 m 5 profiles 2239488 fails 0 solved 10193 secs 0.1
core 83 m 5 profiles 2239488 fails 0 solved 12203 secs 0.1
core 84 m 5 profiles 2239488 fails 0 solved 10870 secs 0.1
core 85 m 5 profiles 2239488 fails 0 solved 10261 secs 0.1
core 86 m 5 profiles 2239488 fails 0 solved 9438 secs 0.0
core 87 m 5 profiles 2239488 fails 0 solved 9204 secs 0.1
core 88 m 5 profiles 2239488 fails 0 solved 10379 secs 0.1
core 89 m 5 profiles 2239488 fails 0 solved 11474 secs 0.1
core 90 m 5 profiles 2239488 fails 0 solved 11199 secs 0.1
core 91 m 5 profiles 2239488 fails 0 solved 10552 secs 0.1
core 92 m 5 profiles 2239488 fails 0 solved 12932 secs 0.1
core 93 m 5 profiles 2239488 fails 0 solved 10036 secs 0.1
core 94 m 5 profiles 2239488 fails 0 solved 8259 secs 0.1
core 95 m 5 profiles 2239488 fails 0 solved 9478 secs 0.1
core 96 m 5 profiles 2239488 fails 0 solved 8462 secs 0.1
core 97 m 5 profiles 2239488 fails 0 solved 9370 secs 0.1
core 98 m 5 profiles 2239488 fails 0 solved 8440 secs 0.1
core 99 m 5 profiles 2239488 fails 0 solved 9269 secs 0.1
core 100 m 5 profiles 2239488 fails 0 solved 9940 secs 0.1
core 101 m 5 profiles 2239488 fails 0 solved 8937 secs 0.1
core 102 m 5 profiles 2239488 fails 0 solved 9257 secs 0.1
core 103 m 5 profiles 2239488 fails 0 solved 11202 secs 0.1
core 104 m 5 profiles 2239488 fails 0 solved 8265 secs 0.1
core 105 m 5 profiles 2239488 fails 0 solved 9594 secs 0.1
