# command: python3 c4min_hunt_run.py ../results/k4_certs_2.json.gz ../results/k4_certs_3.json.gz ../results/k4_certs_4_n4_1.json.gz ../results/k4_certs_4_n4_2.json.gz -V
# commit d478b63, k4/c4min_hunt.c sha1 9c7ca0ffe25b, started Fri Sep 25 21:12:42 UTC 2026
core 0 m 4 profiles 1728 fails 0 solved 5 secs 0.0
core 1 m 4 profiles 82944 fails 0 solved 29 secs 0.0
core 2 m 5 profiles 864 fails 0 solved 3 secs 0.0
core 3 m 5 profiles 82944 fails 0 solved 29 secs 0.0
core 4 m 6 profiles 20736 fails 0 solved 20 secs 0.0
FILE ../results/k4_certs_2.json.gz cores 5 profiles 189216 solved 86 templates 86 cachehits 2715 fails 0 verified 189216 faillines 0
core 0 m 4 profiles 10368 fails 0 solved 63 secs 0.0
core 1 m 4 profiles 10368 fails 0 solved 37 secs 0.0
core 2 m 4 profiles 497664 fails 0 solved 95 secs 0.2
core 3 m 4 profiles 23887872 fails 0 solved 1823 secs 11.7
core 4 m 5 profiles 5184 fails 0 solved 61 secs 0.0
core 5 m 5 profiles 10368 fails 0 solved 40 secs 0.0
core 6 m 5 profiles 497664 fails 0 solved 134 secs 0.2
core 7 m 5 profiles 10368 fails 0 solved 31 secs 0.0
core 8 m 5 profiles 497664 fails 0 solved 82 secs 0.3
core 9 m 5 profiles 10368 fails 0 solved 7 secs 0.0
core 10 m 5 profiles 497664 fails 0 solved 65 secs 0.1
core 11 m 5 profiles 23887872 fails 0 solved 1848 secs 10.1
core 12 m 5 profiles 10368 fails 0 solved 8 secs 0.0
core 13 m 5 profiles 497664 fails 0 solved 63 secs 0.2
core 14 m 5 profiles 23887872 fails 0 solved 1357 secs 9.4
core 15 m 6 profiles 5184 fails 0 solved 20 secs 0.0
core 16 m 6 profiles 248832 fails 0 solved 40 secs 0.2
core 17 m 6 profiles 11943936 fails 0 solved 997 secs 6.4
core 18 m 6 profiles 5184 fails 0 solved 38 secs 0.0
core 19 m 6 profiles 5184 fails 0 solved 31 secs 0.0
core 20 m 6 profiles 248832 fails 0 solved 78 secs 0.1
core 21 m 6 profiles 10368 fails 0 solved 5 secs 0.0
core 22 m 6 profiles 497664 fails 0 solved 76 secs 0.1
core 23 m 6 profiles 23887872 fails 0 solved 2144 secs 9.5
core 24 m 6 profiles 10368 fails 0 solved 7 secs 0.0
core 25 m 6 profiles 497664 fails 0 solved 72 secs 0.1
core 26 m 6 profiles 10368 fails 0 solved 8 secs 0.0
core 27 m 6 profiles 497664 fails 0 solved 45 secs 0.1
core 28 m 6 profiles 23887872 fails 0 solved 1599 secs 10.2
core 29 m 6 profiles 23887872 fails 0 solved 1655 secs 9.4
core 30 m 6 profiles 497664 fails 0 solved 50 secs 0.2
core 31 m 6 profiles 497664 fails 0 solved 50 secs 0.1
core 32 m 6 profiles 23887872 fails 0 solved 1275 secs 9.4
core 33 m 7 profiles 11943936 fails 0 solved 663 secs 7.0
core 34 m 7 profiles 124416 fails 0 solved 76 secs 0.1
core 35 m 7 profiles 124416 fails 0 solved 56 secs 0.1
core 36 m 7 profiles 5184 fails 0 solved 4 secs 0.0
core 37 m 7 profiles 248832 fails 0 solved 40 secs 0.1
core 38 m 7 profiles 11943936 fails 0 solved 1159 secs 7.2
core 39 m 7 profiles 248832 fails 0 solved 48 secs 0.2
