# The 19 LS4 failure states logged in results/k4_ls4_4_sample.log (LS4, default rule, 100,000 random profiles per pure
# n = 4 core). LS4 failed on 20 profiles; the log prints at most 5 failures per core and one core with m = 7 had 6, so 19
# are logged. Columns (tab-separated): m; profile (agent: good:value ...); final bundles Y as hex bit masks per agent;
# pool U as a hex mask; LS4 trajectory (states after each move, bundles as hex masks, separated by commas);
# the state right after the single coalition move that LS4+_n (ls4alg.c -DCMOVE=8) applies there.
m	profile	Y	U	ls4_trajectory	lsp_cmove_state
7	[0:3 1:6 2:10 3:8] [0:2 2:8 5:4 6:3] [1:4 4:2 5:5 6:8] [3:4 4:3 5:2 6:8]	4 21 40 18	2	1 0 0 0,2 0 0 0,8 0 0 0,4 0 0 0,4 1 0 0,4 40 0 0,4 20 0 0,4 20 10 0,4 20 2 0,4 20 40 0,4 20 40 10,4 21 40 10,4 21 40 8,4 21 40 18	3 4 40 18
7	[0:2 1:4 2:10 3:7] [0:3 2:10 5:2 6:6] [1:4 4:3 5:8 6:6] [3:6 4:3 5:10 6:2]	4 41 20 18	2	1 0 0 0,2 0 0 0,8 0 0 0,4 0 0 0,4 20 0 0,4 1 0 0,4 40 0 0,4 40 10 0,4 40 2 0,4 40 20 0,4 40 20 10,4 41 20 10,4 41 20 8,4 41 20 18	8 4 42 20
7	[0:6 1:3 2:10 3:8] [0:3 2:10 5:6 6:8] [1:7 4:2 5:4 6:10] [3:6 4:1 5:4 6:8]	4 21 40 18	2	2 0 0 0,1 0 0 0,8 0 0 0,4 0 0 0,4 1 0 0,4 20 0 0,4 40 0 0,4 40 10 0,4 40 20 0,4 40 2 0,4 40 2 10,4 40 2 20,4 40 12 20,4 40 12 8,4 21 12 8,4 21 40 8,4 21 40 18	3 4 40 28
7	[0:10 2:3 4:6 5:8] [0:8 2:2 5:3 6:4] [1:2 3:8 4:4 6:7] [1:2 3:10 5:7 6:4]	1 44 8 22	10	4 0 0 0,10 0 0 0,20 0 0 0,1 0 0 0,1 4 0 0,1 20 0 0,1 40 0 0,1 40 2 0,1 40 10 0,1 40 8 0,1 40 8 2,1 40 8 20,1 44 8 20,1 44 8 22	14 1 8 22
7	[0:10 2:6 4:3 5:8] [0:10 2:3 5:2 6:6] [1:4 3:8 4:3 6:6] [1:3 3:10 5:6 6:2]	1 44 8 22	10	10 0 0 0,4 0 0 0,20 0 0 0,1 0 0 0,1 20 0 0,1 4 0 0,1 40 0 0,1 40 10 0,1 40 2 0,1 40 8 0,1 40 8 2,1 44 8 2,1 44 8 20,1 44 8 22	4 1 42 8
7	[0:8 2:10 5:6 6:3] [0:5 3:2 4:4 6:8] [1:1 2:8 4:6 6:4] [1:2 3:3 5:6 6:10]	4 40 12 28	1	40 0 0 0,20 0 0 0,1 0 0 0,4 0 0 0,4 8 0 0,4 10 0 0,4 1 0 0,4 40 0 0,4 40 2 0,4 40 10 0,4 40 10 2,4 40 10 8,4 40 12 8,4 40 12 20,4 40 12 28	4 40 10 2a
7	[0:5 2:7 5:6 6:3] [0:6 3:3 4:8 6:10] [1:2 2:10 4:6 6:7] [1:4 3:2 5:5 6:8]	4 40 12 28	1	40 0 0 0,1 0 0 0,20 0 0 0,4 0 0 0,4 8 0 0,4 1 0 0,4 10 0 0,4 40 0 0,4 40 2 0,4 40 10 0,4 40 10 8,4 40 10 2,4 40 10 20,4 40 12 20,4 40 12 28	4 11 40 28
7	[0:7 2:6 5:2 6:10] [0:4 3:5 4:8 5:2] [1:3 2:6 4:10 6:8] [1:4 3:6 5:1 6:8]	40 10 6 28	1	20 0 0 0,4 0 0 0,1 0 0 0,40 0 0 0,40 20 0 0,40 1 0 0,40 8 0 0,40 10 0 0,40 10 2 0,40 10 4 0,40 10 4 20,40 10 4 2,40 10 4 22,40 10 4 8,40 10 6 8,40 10 6 28	5 10 40 28
7	[0:5 2:8 5:4 6:6] [0:4 3:2 4:5 5:8] [1:2 2:8 4:5 6:4] [1:6 3:2 5:10 6:7]	4 20 12 48	1	20 0 0 0,1 0 0 0,40 0 0 0,4 0 0 0,4 8 0 0,4 1 0 0,4 10 0 0,4 20 0 0,4 20 2 0,4 20 40 0,4 20 10 0,4 20 10 8,4 20 10 2,4 20 10 40,4 20 12 40,4 20 12 48	4 20 10 42
7	[0:3 2:7 5:5 6:6] [0:4 3:2 4:7 5:10] [1:2 2:8 4:5 6:4] [1:4 3:1 5:8 6:6]	4 20 12 48	1	1 0 0 0,20 0 0 0,40 0 0 0,4 0 0 0,4 8 0 0,4 1 0 0,4 10 0 0,4 20 0 0,4 20 2 0,4 20 40 0,4 20 10 0,4 20 10 8,4 20 10 2,4 20 10 a,4 20 10 40,4 20 12 40,4 20 12 48	4 20 10 42
