# pass 1: $ cd k4 && python3 mincex_cert.py ../results/k4_min_cex_shapes_4.json.gz OUT --jobs=3 --timeout=30   (search4.py scanner; stopped after 2,463 cores and resumed in pass 2)
5558 cores, 0 in the checkpoint, 5558 to run
n = 5, m = 10, kinds P4P4P4P3P3, 859963392 profiles: 128 allocations, 0 D2 failures, 1.1 s
n = 5, m = 10, kinds P4P4P4P3P3, 859963392 profiles: 139 allocations, 0 D2 failures, 1.2 s
n = 5, m = 10, kinds P4P4P4P3P3, 4976640 profiles: 5 allocations, 0 D2 failures, 0.1 s
n = 5, m = 10, kinds P4P4P4P3P3, 859963392 profiles: 131 allocations, 0 D2 failures, 1.3 s
n = 5, m = 10, kinds P4P4P4P3P3, 4976640 profiles: 13 allocations, 0 D2 failures, 0.1 s
n = 5, m = 10, kinds P4P4P4P3P3, 4976640 profiles: 15 allocations, 0 D2 failures, 0.1 s
n = 5, m = 10, kinds P4P4P3P4P3, 4976640 profiles: 9 allocations, 0 D2 failures, 0.1 s
n = 5, m = 10, kinds P4P4P4P3P3, 859963392 profiles: 130 allocations, 0 D2 failures, 1.2 s
n = 5, m = 10, kinds P4P4P4P3P3, 859963392 profiles: 135 allocations, 0 D2 failures, 1.3 s
n = 5, m = 10, kinds P4P4P4P3P3, 859963392 profiles: 130 allocations, 0 D2 failures, 1.1 s
n = 5, m = 10, kinds P4P4P3P4P3, 4976640 profiles: 17 allocations, 0 D2 failures, 0.2 s
n = 5, m = 10, kinds P4P4P4P3P3, 4976640 profiles: 19 allocations, 0 D2 failures, 0.2 s
n = 5, m = 10, kinds P4P4P4P3P3, 859963392 profiles: 132 allocations, 0 D2 failures, 1.1 s
n = 5, m = 10, kinds P4P3P4P3P4, 28800 profiles: 4 allocations, 0 D2 failures, 0.1 s
n = 5, m = 10, kinds Q4P4P4P3P3, 4976640 profiles: 30 allocations, 0 D2 failures, 0.2 s
n = 5, m = 10, kinds P4P3P4P3P4, 28800 profiles: 2 allocations, 0 D2 failures, 1.1 s
n = 5, m = 10, kinds P4P4P4P3P3, 4976640 profiles: 19 allocations, 0 D2 failures, 1.2 s
n = 5, m = 10, kinds P4Q4P4P3P3, 4976640 profiles: 17 allocations, 0 D2 failures, 0.2 s
n = 5, m = 10, kinds Q4P4P3P4P3, 4976640 profiles: 18 allocations, 0 D2 failures, 0.2 s
n = 5, m = 10, kinds P4P4Q4P3P3, 35831808 profiles: 46 allocations, 0 D2 failures, 0.3 s
n = 5, m = 10, kinds Q4P4P4P3P3, 4976640 profiles: 21 allocations, 0 D2 failures, 1.2 s
