# command: python3 k4/suite/run.py rulef --timeout=120
# instances: 150
## rulef: LB₄ʳ with rule F (first agent by lookahead, then index order) and at most one rotation succeeds [K4.AD.* (#44)]
  adaptive-cover-multi4        n=2 m=4   adaptive: holds (rot0=1 rot1=0; 0.2s)
  adaptive-p1                  n=3 m=6   adaptive: holds (rot0=0 rot1=1; 0.2s)
  adaptive-p3                  n=3 m=6   adaptive: holds (rot0=1 rot1=0; 0.2s)
  c4-H1                        n=5 m=13  adaptive: holds (rot0=1 rot1=0; 0.2s)
  c4-H2                        n=9 m=23  adaptive: holds (rot0=1 rot1=0; 0.2s)
  c4-H5                        n=21 m=53  adaptive: n/a (n > 13 (H_t for t <= 8: #44, K4.AD.*); 0.0s)
  c4-exposure-deficit2-n2m5    n=2 m=5   adaptive: holds (rot0=1 rot1=0; 0.2s)
  c4-exposure-earlier-block-n3m6 n=3 m=6   adaptive: holds (rot0=1 rot1=0; 0.2s)
  c4-exposure-nonleader-n3m5   n=3 m=5   adaptive: holds (rot0=0 rot1=1; 0.2s)
  c4-g2-other-runs-n4m7        n=4 m=7   adaptive: holds (rot0=1 rot1=0; 0.2s)
  c4-gadget-stacking-1copy-n3m6 n=3 m=6   adaptive: holds (rot0=0 rot1=1; 0.2s)
  c4-gadget-stacking-2copies-n6m11 n=6 m=11  adaptive: holds (rot0=1 rot1=0; 0.2s)
  c4-lbplus-rotation-n3m6      n=3 m=6   adaptive: holds (rot0=1 rot1=0; 0.2s)
  c4-one-rotation-owner-r-n3m6 n=3 m=6   adaptive: holds (rot0=1 rot1=0; 0.2s)
  c4-one-rotation-two4-n3m6    n=3 m=6   adaptive: holds (rot0=1 rot1=0; 0.2s)
  c4-owner-last-n3m8           n=3 m=8   adaptive: holds (rot0=1 rot1=0; 0.2s)
  c4-pareto-moves-n3m6         n=3 m=6   adaptive: holds (rot0=1 rot1=0; 0.2s)
  c4min-moves-neither-n3-m9-n3c50 n=3 m=9   adaptive: holds (rot0=1 rot1=0; 0.2s)
  c4min-nounfreeze-n2-m6       n=2 m=6   adaptive: holds (rot0=1 rot1=0; 0.2s)
  c4min-pareto-n3-m7           n=3 m=7   adaptive: holds (rot0=1 rot1=0; 0.2s)
