n2_m4_C2: sets=[[0, 1, 2, 3], [0, 1, 2, 3]] values=[[8, 4, 3, 2], [8, 4, 3, 2]]: 2 EFX0 allocations; fewest bundles with >2 goods 1, with >3 goods 0; smallest largest bundle 3; smallest large bundle with <=1 bundle of >2 goods: 3
n3_C2_first: sets=[[0, 1, 2, 4], [1, 3, 4], [2, 3, 4]] values=[[4, 3, 2, 8], [2, 4, 3], [2, 4, 3]]: 4 EFX0 allocations; fewest bundles with >2 goods 1, with >3 goods 0; smallest largest bundle 3; smallest large bundle with <=1 bundle of >2 goods: 3
n3_m6_C3: sets=[[0, 1, 4, 5], [2, 3, 4, 5], [2, 3, 4, 5]] values=[[4, 3, 8, 2], [4, 1, 6, 8], [4, 1, 6, 8]]: 4 EFX0 allocations; fewest bundles with >2 goods 1, with >3 goods 1; smallest largest bundle 4; smallest large bundle with <=1 bundle of >2 goods: 4
n3_m6_C3: sets=[[0, 2, 4, 5], [1, 3, 4, 5], [2, 3, 4, 5]] values=[[4, 3, 8, 2], [4, 1, 6, 8], [4, 1, 6, 8]]: 4 EFX0 allocations; fewest bundles with >2 goods 1, with >3 goods 1; smallest largest bundle 4; smallest large bundle with <=1 bundle of >2 goods: 4
n3_m6_C3: sets=[[0, 2, 4, 5], [1, 3, 4, 5], [3, 4, 5]] values=[[4, 3, 8, 2], [4, 1, 6, 8], [2, 3, 4]]: 4 EFX0 allocations; fewest bundles with >2 goods 1, with >3 goods 1; smallest largest bundle 4; smallest large bundle with <=1 bundle of >2 goods: 4
n3_m6_C3: sets=[[0, 2, 4, 5], [1, 4, 5], [3, 4, 5]] values=[[4, 3, 8, 2], [2, 3, 4], [2, 3, 4]]: 4 EFX0 allocations; fewest bundles with >2 goods 1, with >3 goods 1; smallest largest bundle 4; smallest large bundle with <=1 bundle of >2 goods: 4
n3_m6_C3: sets=[[0, 3, 4, 5], [1, 3, 4, 5], [2, 3, 4, 5]] values=[[6, 8, 4, 1], [4, 6, 8, 1], [4, 6, 8, 1]]: 4 EFX0 allocations; fewest bundles with >2 goods 1, with >3 goods 1; smallest largest bundle 4; smallest large bundle with <=1 bundle of >2 goods: 4
n3_m6_C3: sets=[[0, 3, 4, 5], [1, 3, 4, 5], [2, 4, 5]] values=[[4, 3, 8, 2], [4, 1, 6, 8], [2, 3, 4]]: 4 EFX0 allocations; fewest bundles with >2 goods 1, with >3 goods 1; smallest largest bundle 4; smallest large bundle with <=1 bundle of >2 goods: 4
n3_m7_C3: sets=[[0, 2, 5, 6], [1, 4, 5, 6], [3, 4, 5, 6]] values=[[4, 3, 8, 2], [4, 2, 8, 7], [4, 2, 8, 7]]: 12 EFX0 allocations; fewest bundles with >2 goods 1, with >3 goods 1; smallest largest bundle 4; smallest large bundle with <=1 bundle of >2 goods: 4
n3_m7_C3: sets=[[0, 2, 5, 6], [1, 4, 5, 6], [3, 5, 6]] values=[[4, 3, 8, 2], [4, 2, 8, 7], [3, 2, 4]]: 7 EFX0 allocations; fewest bundles with >2 goods 1, with >3 goods 1; smallest largest bundle 4; smallest large bundle with <=1 bundle of >2 goods: 4
n3_m7_C3: sets=[[0, 3, 4, 6], [1, 3, 5, 6], [2, 4, 5, 6]] values=[[1, 8, 6, 4], [1, 8, 6, 4], [1, 6, 4, 8]]: 4 EFX0 allocations; fewest bundles with >2 goods 1, with >3 goods 1; smallest largest bundle 4; smallest large bundle with <=1 bundle of >2 goods: 4
n3_m8_C3: sets=[[0, 2, 6, 7], [1, 4, 6, 7], [3, 5, 6, 7]] values=[[4, 3, 8, 2], [4, 3, 8, 2], [4, 3, 8, 2]]: 54 EFX0 allocations; fewest bundles with >2 goods 1, with >3 goods 1; smallest largest bundle 4; smallest large bundle with <=1 bundle of >2 goods: 5
n3_m6_L4_bound3: sets=[[0, 1, 4, 5], [2, 3, 4, 5], [2, 3, 4, 5]] values=[[4, 3, 8, 2], [4, 1, 6, 8], [4, 1, 6, 8]]: 4 EFX0 allocations; fewest bundles with >2 goods 1, with >3 goods 1; smallest largest bundle 4; smallest large bundle with <=1 bundle of >2 goods: 4
n3_m6_L4_bound3: sets=[[0, 2, 4, 5], [1, 3, 4, 5], [2, 3, 4, 5]] values=[[4, 3, 8, 2], [4, 1, 6, 8], [4, 1, 6, 8]]: 4 EFX0 allocations; fewest bundles with >2 goods 1, with >3 goods 1; smallest largest bundle 4; smallest large bundle with <=1 bundle of >2 goods: 4
n3_m6_L4_bound3: sets=[[0, 2, 4, 5], [1, 3, 4, 5], [3, 4, 5]] values=[[4, 3, 8, 2], [4, 1, 6, 8], [2, 3, 4]]: 4 EFX0 allocations; fewest bundles with >2 goods 1, with >3 goods 1; smallest largest bundle 4; smallest large bundle with <=1 bundle of >2 goods: 4
n3_m6_L4_bound3: sets=[[0, 2, 4, 5], [1, 4, 5], [3, 4, 5]] values=[[4, 3, 8, 2], [2, 3, 4], [2, 3, 4]]: 4 EFX0 allocations; fewest bundles with >2 goods 1, with >3 goods 1; smallest largest bundle 4; smallest large bundle with <=1 bundle of >2 goods: 4
